1.0934 1.0976 0.0006 0.610 0.695 0.001 25. 36. 0.5 121. 145. 1. 145. 180. 5.
1.0934 0.610  25.0 121. 145.          520.2
1.0934 0.610  25.0 121. 150.          536.1
1.0934 0.610  25.0 121. 155.          550.1
1.0934 0.610  25.0 121. 160.          562.1
1.0934 0.610  25.0 121. 165.          571.6
1.0934 0.610  25.0 121. 170.          578.6
1.0934 0.610  25.0 121. 175.          582.9
1.0934 0.610  25.0 121. 180.          584.3
1.0934 0.610  25.0 122. 145.          520.1
1.0934 0.610  25.0 122. 150.          535.7
1.0934 0.610  25.0 122. 155.          549.5
1.0934 0.610  25.0 122. 160.          561.1
1.0934 0.610  25.0 122. 165.          570.5
1.0934 0.610  25.0 122. 170.          577.3
1.0934 0.610  25.0 122. 175.          581.4
1.0934 0.610  25.0 122. 180.          582.8
1.0934 0.610  25.0 123. 145.          520.0
1.0934 0.610  25.0 123. 150.          535.2
1.0934 0.610  25.0 123. 155.          548.6
1.0934 0.610  25.0 123. 160.          560.1
1.0934 0.610  25.0 123. 165.          569.2
1.0934 0.610  25.0 123. 170.          575.9
1.0934 0.610  25.0 123. 175.          579.9
1.0934 0.610  25.0 123. 180.          581.3
1.0934 0.610  25.0 124. 145.          519.7
1.0934 0.610  25.0 124. 150.          534.6
1.0934 0.610  25.0 124. 155.          547.8
1.0934 0.610  25.0 124. 160.          558.9
1.0934 0.610  25.0 124. 165.          567.9
1.0934 0.610  25.0 124. 170.          574.4
1.0934 0.610  25.0 124. 175.          578.3
1.0934 0.610  25.0 124. 180.          579.7
1.0934 0.610  25.0 125. 145.          519.4
1.0934 0.610  25.0 125. 150.          533.9
1.0934 0.610  25.0 125. 155.          546.8
1.0934 0.610  25.0 125. 160.          557.7
1.0934 0.610  25.0 125. 165.          566.4
1.0934 0.610  25.0 125. 170.          572.7
1.0934 0.610  25.0 125. 175.          576.6
1.0934 0.610  25.0 125. 180.          577.9
1.0934 0.610  25.0 126. 145.          518.9
1.0934 0.610  25.0 126. 150.          533.1
1.0934 0.610  25.0 126. 155.          545.7
1.0934 0.610  25.0 126. 160.          556.3
1.0934 0.610  25.0 126. 165.          564.8
1.0934 0.610  25.0 126. 170.          571.0
1.0934 0.610  25.0 126. 175.          574.8
1.0934 0.610  25.0 126. 180.          576.1
1.0934 0.610  25.0 127. 145.          518.4
1.0934 0.610  25.0 127. 150.          532.2
1.0934 0.610  25.0 127. 155.          544.5
1.0934 0.610  25.0 127. 160.          554.8
1.0934 0.610  25.0 127. 165.          563.1
1.0934 0.610  25.0 127. 170.          569.2
1.0934 0.610  25.0 127. 175.          572.9
1.0934 0.610  25.0 127. 180.          574.1
1.0934 0.610  25.0 128. 145.          517.7
1.0934 0.610  25.0 128. 150.          531.2
1.0934 0.610  25.0 128. 155.          543.2
1.0934 0.610  25.0 128. 160.          553.3
1.0934 0.610  25.0 128. 165.          561.3
1.0934 0.610  25.0 128. 170.          567.2
1.0934 0.610  25.0 128. 175.          570.8
1.0934 0.610  25.0 128. 180.          572.0
1.0934 0.610  25.0 129. 145.          517.0
1.0934 0.610  25.0 129. 150.          530.2
1.0934 0.610  25.0 129. 155.          541.8
1.0934 0.610  25.0 129. 160.          551.6
1.0934 0.610  25.0 129. 165.          559.5
1.0934 0.610  25.0 129. 170.          565.2
1.0934 0.610  25.0 129. 175.          568.7
1.0934 0.610  25.0 129. 180.          569.9
